symbol,name,exchange,source
A,Agilent Technologies,NYSE/NASDAQ,SP500
AAPL,Apple Inc.,NYSE/NASDAQ,SP500
ABBV,AbbVie,NYSE/NASDAQ,SP500
ABNB,Airbnb,NYSE/NASDAQ,SP500
ABT,Abbott Laboratories,NYSE/NASDAQ,SP500
ACGL,Arch Capital Group,NYSE/NASDAQ,SP500
ACN,Accenture,NYSE/NASDAQ,SP500
ADBE,Adobe Inc.,NYSE/NASDAQ,SP500
ADI,Analog Devices,NYSE/NASDAQ,SP500
ADM,Archer Daniels Midland,NYSE/NASDAQ,SP500
ADP,Automatic Data Processing,NYSE/NASDAQ,SP500
ADSK,Autodesk,NYSE/NASDAQ,SP500
AEE,Ameren,NYSE/NASDAQ,SP500
AEP,American Electric Power,NYSE/NASDAQ,SP500
AES,AES Corporation,NYSE/NASDAQ,SP500
AFL,Aflac,NYSE/NASDAQ,SP500
AIG,American International Group,NYSE/NASDAQ,SP500
AIZ,Assurant,NYSE/NASDAQ,SP500
AJG,Arthur J. Gallagher & Co.,NYSE/NASDAQ,SP500
AKAM,Akamai Technologies,NYSE/NASDAQ,SP500
ALB,Albemarle Corporation,NYSE/NASDAQ,SP500
ALGN,Align Technology,NYSE/NASDAQ,SP500
ALL,Allstate,NYSE/NASDAQ,SP500
ALLE,Allegion,NYSE/NASDAQ,SP500
AMAT,Applied Materials,NYSE/NASDAQ,SP500
AMCR,Amcor,NYSE/NASDAQ,SP500
AMD,Advanced Micro Devices,NYSE/NASDAQ,SP500
AME,Ametek,NYSE/NASDAQ,SP500
AMGN,Amgen,NYSE/NASDAQ,SP500
AMP,Ameriprise Financial,NYSE/NASDAQ,SP500
AMT,American Tower,NYSE/NASDAQ,SP500
AMZN,Amazon,NYSE/NASDAQ,SP500
ANET,Arista Networks,NYSE/NASDAQ,SP500
AON,Aon plc,NYSE/NASDAQ,SP500
AOS,A. O. Smith,NYSE/NASDAQ,SP500
APA,APA Corporation,NYSE/NASDAQ,SP500
APD,Air Products,NYSE/NASDAQ,SP500
APH,Amphenol,NYSE/NASDAQ,SP500
APO,Apollo Global Management,NYSE/NASDAQ,SP500
