symbol,earnings_date,trading_date,source,confidence,release_time,eps_actual,eps_estimate,eps_surprise_pct
A,2024-02-27,2024-02-28,yahoo,actual,unknown,1.29,1.23,4.68
A,2024-05-29,2024-05-30,yahoo,actual,unknown,1.22,1.19,2.42
A,2024-08-21,2024-08-22,yahoo,actual,unknown,1.32,1.26,4.93
A,2024-11-25,2024-11-26,yahoo,actual,unknown,1.22,1.29,-5.41
A,2025-02-26,2025-02-27,yahoo,actual,unknown,1.31,1.27,2.99
A,2025-05-28,2025-05-29,yahoo,actual,unknown,1.31,1.26,3.62
A,2025-08-27,2025-08-28,yahoo,actual,unknown,1.37,1.37,0.17
A,2025-11-24,2025-11-25,yahoo,actual,unknown,1.59,1.58,0.37
AA,2024-01-17,2024-01-18,yahoo,actual,unknown,-0.56,-0.86,35.08
AA,2024-04-17,2024-04-18,yahoo,actual,unknown,-0.81,-0.44,-86.01
AA,2024-07-17,2024-07-18,yahoo,actual,unknown,0.16,0.09,84.61
AA,2024-10-16,2024-10-17,yahoo,actual,unknown,0.57,0.3,92.18
AA,2025-01-22,2025-01-23,yahoo,actual,unknown,1.04,1.01,2.78
AA,2025-04-16,2025-04-17,yahoo,actual,unknown,2.15,1.41,52.94
AA,2025-07-16,2025-07-17,yahoo,actual,unknown,0.39,0.39,1.1
AA,2025-10-22,2025-10-23,yahoo,actual,unknown,-0.02,-0.05,62.96
AAL,2024-01-25,2024-01-26,yahoo,actual,unknown,0.29,0.08,265.56
AAL,2024-04-25,2024-04-26,yahoo,actual,unknown,-0.34,-0.29,-16.81
AAL,2024-07-25,2024-07-26,yahoo,actual,unknown,1.01,1.05,-3.99
AAL,2024-10-24,2024-10-25,yahoo,actual,unknown,-0.23,0.25,-191.09
AAL,2025-01-23,2025-01-24,yahoo,actual,unknown,0.84,0.6,40.0
AAL,2025-04-24,2025-04-25,yahoo,actual,unknown,-0.59,-0.67,11.73
AAL,2025-07-24,2025-07-25,yahoo,actual,unknown,0.91,0.78,16.67
AAL,2025-10-23,2025-10-24,yahoo,actual,unknown,-0.17,-0.28,38.21
AAON,2024-02-28,2024-02-29,yahoo,actual,unknown,0.56,0.52,7.69
AAON,2024-05-02,2024-05-03,yahoo,actual,unknown,0.46,0.49,-5.15
AAON,2024-08-01,2024-08-02,yahoo,actual,unknown,0.62,0.52,20.39
AAON,2024-11-07,2024-11-08,yahoo,actual,unknown,0.63,0.57,10.2
AAON,2025-02-27,2025-02-28,yahoo,actual,unknown,0.3,0.53,-43.7
AAON,2025-04-30,2025-05-01,yahoo,actual,unknown,0.37,0.24,56.97
AAON,2025-08-11,2025-08-12,yahoo,actual,unknown,0.19,0.34,-43.45
AAON,2025-11-06,2025-11-07,yahoo,actual,unknown,0.37,0.32,14.91
AAPL,2024-02-01,2024-02-02,yahoo,actual,unknown,2.18,2.1,3.66
AAPL,2024-05-02,2024-05-03,yahoo,actual,unknown,1.53,1.51,1.46
AAPL,2024-08-01,2024-08-02,yahoo,actual,unknown,1.4,1.34,4.36
AAPL,2024-10-31,2024-11-01,yahoo,actual,unknown,0.97,0.95,2.48
AAPL,2025-01-30,2025-01-31,yahoo,actual,unknown,2.4,2.35,2.26
AAPL,2025-05-01,2025-05-02,yahoo,actual,unknown,1.65,1.62,1.69
AAPL,2025-07-31,2025-08-01,yahoo,actual,unknown,1.57,1.43,9.48
AAPL,2025-10-30,2025-10-31,yahoo,actual,unknown,1.85,1.77,4.52
ABBV,2024-02-02,2024-02-05,yahoo,actual,unknown,2.79,2.8,-0.32
ABBV,2024-04-26,2024-04-29,yahoo,actual,unknown,2.31,2.26,2.37
ABBV,2024-07-25,2024-07-26,yahoo,actual,unknown,2.65,2.66,-0.39
ABBV,2024-10-30,2024-10-31,yahoo,actual,unknown,3.0,2.92,2.82
ABBV,2025-01-31,2025-02-03,yahoo,actual,unknown,2.16,2.12,1.92
ABBV,2025-04-25,2025-04-28,yahoo,actual,unknown,2.46,2.4,2.62
