,symbol,pred
1,PLTR,0.0405181683739163
2,HOOD,-0.0011916579543446
3,MPWR,-0.0678206746390141
4,NEM,-0.0891451560864961
5,EL,-0.0961528979265907
6,CSX,-0.097867017490431
7,FCX,-0.1007207707499941
8,KLAC,-0.1037132135542055
9,AMAT,-0.1041590451532539
10,APP,-0.1046849750592508
11,AMD,-0.1055007334869199
12,LRCX,-0.10984244634529
13,DVN,-0.1214439778890977
14,F,-0.1229645984486093
15,STX,-0.1232935995518448
16,DD,-0.1275899612609871
17,UAL,-0.1277682636570491
18,EXPE,-0.1292516166710823
19,DOW,-0.1313835006705993
20,BEN,-0.1355259089294008
