symbol,earnings_date,trading_date,source,confidence,release_time,eps_actual,eps_estimate,eps_surprise_pct
AAPL,2024-02-01,2024-02-02,yahoo,actual,unknown,2.18,2.1,3.66
AAPL,2024-05-02,2024-05-03,yahoo,actual,unknown,1.53,1.51,1.46
AAPL,2024-08-01,2024-08-02,yahoo,actual,unknown,1.4,1.34,4.3
AAPL,2024-10-31,2024-11-01,yahoo,actual,unknown,1.64,1.6,2.28
AAPL,2025-01-30,2025-01-31,yahoo,actual,unknown,2.4,2.34,2.52
AAPL,2025-05-01,2025-05-02,yahoo,actual,unknown,1.65,1.62,1.69
AAPL,2025-07-31,2025-08-01,yahoo,actual,unknown,1.57,1.43,9.48
AAPL,2025-10-30,2025-10-31,yahoo,actual,unknown,1.85,1.77,4.47
ABNB,2024-02-13,2024-02-14,yahoo,actual,unknown,-0.55,0.55,-199.2
ABNB,2024-05-08,2024-05-09,yahoo,actual,unknown,0.41,0.23,77.09
ABNB,2024-08-06,2024-08-07,yahoo,actual,unknown,0.86,0.91,-5.66
ABNB,2024-11-07,2024-11-08,yahoo,actual,unknown,2.13,2.15,-0.89
ABNB,2025-02-13,2025-02-14,yahoo,actual,unknown,0.73,0.58,25.49
ABNB,2025-05-01,2025-05-02,yahoo,actual,unknown,0.24,0.24,2.03
ABNB,2025-08-06,2025-08-07,yahoo,actual,unknown,1.03,0.94,9.48
ABNB,2025-11-06,2025-11-07,yahoo,actual,unknown,2.21,2.32,-4.76
ACGL,2024-02-14,2024-02-15,yahoo,actual,unknown,2.49,2.01,23.85
ACGL,2024-04-29,2024-04-30,yahoo,actual,unknown,2.45,2.09,17.23
ACGL,2024-07-30,2024-07-31,yahoo,actual,unknown,2.57,2.21,16.46
ACGL,2024-10-30,2024-10-31,yahoo,actual,unknown,2.56,2.1,22.16
ACGL,2025-02-10,2025-02-11,yahoo,actual,unknown,2.42,1.93,25.53
ACGL,2025-04-29,2025-04-30,yahoo,actual,unknown,1.54,1.31,17.21
ACGL,2025-07-29,2025-07-30,yahoo,actual,unknown,2.58,2.3,12.21
ACGL,2025-10-27,2025-10-28,yahoo,actual,unknown,3.56,2.43,46.61
